Link,Posting Title,Location,Category,Posting Text
https://boone.craigslist.org/edu/d/boone-nursery-staff-needed-at-app-ski/7563028561.html,Nursery Staff needed at App Ski Mtn.,boone,edu,"QR Code Link to This Post   App Ski Mtn is currently hiring Nursery Staff for the 22-23 ski season.   Duties include oversight of the nursery program for children ages 1-4, operating from 8:30am - 4:30pm   Apply in person at the App Ski Mtn Main Office 9am - 9pm 7 days a week."
https://asheville.craigslist.org/edu/d/candler-challenge-island-steam/7562723666.html,Challenge Island STEAM enrichment franchise,asheville,edu,"QR Code Link to This Post   CHALLENGE ISLAND is looking to add to their 150 franchises across the country!  If you are a teacher or just love kids, Challenge Island might just be the right franchise for you.   Entrepreneur magazine has named Challenge Island one of the top 50 Franchises in the world.   You can run in-school field trips, after school programs, summer camps, family nights and more.   Email me or text to get more information 781-974-8768"
https://albanyga.craigslist.org/edu/d/albany-making-difference-in-the-black/7562461854.html,Making a difference in the Black Community. Part time Income From Home,albanyga,edu,"QR Code Link to This Post   We are a Black-Owned Organization that focuses on spreading awareness of several 501(c)8 Not-For-Profit programs/benefits/resources that was created to support and give a helping hand to underprivileged communities, yet isn’t being fully utilized simply because most don’t know they exist. We are passionate about teaching people how to have more resources come into our communities to make a difference.   Some of the Free Not-For-Profit 501(c)8 Programs:  -Community Grants: funding to plan and organize, hands on, one day volunteer activities in your community, multiple times per year - up to $2000 max. (Ex: care packages, back to school drives/giveaways, food drives, clothing drives, hygiene kits)  -Online Learning Enrichment Programs: Over 200 Courses (Microsoft courses, Cyber security, Biz management, Project Management, Technology, Finance (understanding your 401k/IRA, Retirement planning).  -Parental Legacy Program: Gives $900 per month per child in child support & $24,000 for high education per child, if orphaned.  -Scholarship Program: 300+ Scholarships given away annually- $10,000 each ($2500 for 4 years)  -Fun Family Events: Allows you to apply to go to fun attractions for free with your family and other local policy owners (Ex: Kings Dominion, Busch Gardens, Six Flags, Regional Baseball or basketball games, The Zoo or Aquarium, etc.)  All of these programs cost the individual absolutely nothing. That is why knowledge is so important to our community. We believe everyone should know about this. Unfortunately, the percentage in the actual community that is aware of this, is less than 1%. We desire to change that... significantly. And make a difference in our community.   We have been in operation over 13 years, serving our community. The need is great, so we are looking for help. This is a 1099 position (independent and completely flexible schedule based on when you want to work).This position is best for people looking for part time work. It's ideal for those that have limited availability but need to make the hours count. This allows people to make great money on the side because our model teaches the average part timer how to realistically make $24,000-$31,500 on the side.   We only promote from within so for those that are truly passionate about this movement, there are ways to grow significantly in title, responsibility, and income within the company. Entire divisions will be needing more leadership as we continue to grow and that pays well into six figures plus ownership rights.  To apply: Set up a time in our schedule for an initial phone interview (5-10 mins). We look forward to speaking to you.  Click Here:  https://calendly.com/chriscarterfoc/overview"
https://atlanta.craigslist.org/eat/edu/d/pine-lake-childcare-teacher/7562437989.html,Childcare Teacher,atlanta,edu,QR Code Link to This Post   Early childhood education toddler 2 year old teacher.
https://atlanta.craigslist.org/sat/edu/d/atlanta-experience-childcare-teachers/7562268158.html,Experience Childcare Teachers & Van Drivers needed immediately.,atlanta,edu,"QR Code Link to This Post   Childcare Teachers, General Maintenance, & Van Drivers needed. Immediate hire!! Must have or be willing to complete all necessary educational requirements and training. Full and Part time positions available. Flexible schedules!!  Must have a clear criminal and/or driving background check.  Please send resume with experiences!!"
https://atlanta.craigslist.org/atl/edu/d/atlanta-piano-teacher-positions-flying/7561986479.html,Piano Teacher Positions - Flying Fingers Music,atlanta,edu,"QR Code Link to This Post   WHO WE ARE: Flying Fingers Music is an Atlanta based, in-home music lesson service.  Since 2007, we have established the finest and “funnest” organization of professional teachers in our town to work with customers in the Buckhead, Brookhaven, Sandy Springs, and East Cobb areas.  This is not your ordinary company.  We work tirelessly to match great teachers with great students.  OUR MOTTO: We are ""Making Music Education a Fun Experience"".  We mean it AND ...parents love it.  OUR PROMISE: If you're good at what you do, no one will work harder to help you succeed than Flying Fingers.  Period!  Simple and Proven.  You can learn more about us by visiting our website: flyingfingersmusic.com  So... If you are passionate about instilling a love for music in others If you love working with children If you are professional and career minded If you enjoy the freedom of mobile teaching If you want a job that works around your schedule If you want to be compensated well for your hard earned skills and treated with respect If you are looking for a company who will put their full energy into promoting YOU!  Then, please don't waste any more of your time...CALL US NOW!!! (678) 613-7373  Qualified candidates earn $50/hr Work typically starts out as part time and grows quickly for reliable, enthusiastic instructors. Instructors for Flying Fingers are independent contractors. Criminal background checks are performed for all hired instructors. Be a part of something extraordinary!"
https://atlanta.craigslist.org/atl/edu/d/atlanta-turning-sun-schools-actively/7561513240.html,Turning Sun Schools Actively Recruiting Preschool Teachers,atlanta,edu,"QR Code Link to This Post   Turning Sun School - Educator Positions Available!  Turning Sun Schools is hiring Lead, Classroom, and Substitute Educators at our locations in East Lake, North Druid Hills, Tucker, and Smoke Rise to work with students age 3 months - 5 years.  Staff are typically salaried which includes being paid for the 40-45 weekdays we are closed each year (we follow public school schedules). Full time staff are eligible for health insurance benefits and optional retirement plan. Full time staff can work 8-4, 9-5, or 10-6 depending on location. Part time and Substitute Educator positions also offer flexible hours and schedule based on need between 8-6 Mon-Fri year round.  Turning Sun is the school you always wished you could have attended. Our approach is play-based and inspired by the Reggio Emilia philosophy. Our curriculum is child-driven and always respectful to our students. We go outside EVERY day to connect with the natural world, and often explore the history, culture, and art of our local communities. We are a non-religious, open and affirming community which welcomes families and staff regardless of gender identity or expression, sexual orientation, race, creed, or ethnicity.  Education and experience are a plus, but not a requirement because all of our staff progress through Turning Sun's Professional Development Program. We seek candidates who possess the things we cannot teach: (1) ""character"" which aligns with our special values and (2) the natural ability to connect with children.  New employees will also need CPR/First Aid certification (which we will provide and fund) and a comprehensive background check (which we can guide you through). TSS promotes from within so that all staff have opportunities for advancement and growth, and even the possibility to open their own school.  For more info, visit the ""Employment"" page of our website www.turningsun.com where you will find a link to fill out our online application. If you wish to also submit a resume or cover letter before or after, you can email them to us."
https://greenville.craigslist.org/edu/d/greenville-challenge-island-steam/7561176895.html,Challenge Island STEAM enrichment franchise,greenville,edu,"QR Code Link to This Post   CHALLENGE ISLAND is looking to add to their 150 franchises across the country!  If you are a teacher or just love kids, Challenge Island might just be the right franchise for you.   Entrepreneur magazine has named Challenge Island one of the top 50 Franchises in the world.   You can run in-school field trips, after school programs, summer camps, family nights and more.   Email me or text to get more information 781-974-8768"
https://charlotte.craigslist.org/edu/d/charlotte-lead-ceramics-instructor/7561029914.html,Lead Ceramics Instructor / Pottery Instructor,charlotte,edu,"QR Code Link to This Post   Small Hands Big Art is a children's art studio has been delighting kids since 2009 at our South Charlotte location at Waverly (we also have a studio in Fort Mill, SC). If you’re an energetic creative looking to make an impact in the lives of children, we’re looking for YOU to join our amazing team of instructors at our SOUTH CHARLOTTE STUDIO at Waverly shopping center.  Our Waverly studio is a huge bustling hub of art and pottery making, laughter and light! Our beautiful new space enabled us to expand our operations to now include a spacious ceramic studio that adjoins our bright open art studio!  WHO WE ARE LOOKING FOR:  We are looking for a permanent part time Lead Pottery Instructor / Ceramic Instructor, approx. 25-35/hrs a week, with potential for 40/hrs a week in the summer months for those who want more. Flexible part time teaching shifts are available, predominantly afternoon / early evening + periodic Saturday morning/afternoon. Ability to work flexible hours, including periodic Saturdays is a must as class times vary from day to day. Our busiest times in the studio are when children are out of school.  WHAT YOU’LL DO:  Brighten kids days by delivering joyful, memorable ceramic experiences! Develop robust lesson plans and teach pottery classes, camps and workshops (including hand building and wheel throwing, etc.) to children ranging in age from toddlers to middle school. We also teach Adult classes and workshops!  Set the tone / lead the way! Our studio is a happy place! It’s lively, fun, energetic, and fast paced! If you exude energy & enthusiasm and a passion for working with children, we need you!   We are specifically seeking individuals who:  -  have a pep in their step, hustle & love getting scrappy & thinking on their feet -  prefer leading vs. following -  are creative problem solvers (""what?! why isn’t this sticking??!!"") -  value teamwork + collaboration over autonomy & independence -  want to influence our creative direction as we grow -  want to grow with the company as we grow and assume progressively greater responsibilities  Act as a Small Hands Big Art Brand Ambassador. Everything we do involves some aspect of marketing and family / community relations. If you love people & being front & center this may be the place for you! Our students get very attached to our instructors, and we have entire families of siblings who literally grow up with us over the years. Our relationship with our families & students is our greatest focus and source of pride!  Sweep / mop up a lot of clay. We keep our ceramic studio in tip top shape, as clay dust can be dangerous.  The physical demands of working in our pottery studio require standing for long periods of time, lifting (25# bricks of clay), sweeping, mopping & frequent bending and hunching over pottery wheels & sinks.  WHY YOU'LL LOVE WORKING HERE:  The joy & fulfillment of making a difference in young lives. Your caring and compassionate nature will be valued & rewarded.  You’ll be a part of a flexible & supportive team. We have an amazing co-teaching model! We support and encourage each other, and cheer each other on! We celebrate each other & throw creative life rafts when projects don’t go exactly as planned (yes, that happens!).  You’ll be valued & rewarded for your flexibility. Ability to work flexible hours, including periodic Saturdays, is a must as our busiest times in the studio are when children are out of school.  Upward mobility / growth.  We are growing! We want people to grow with us & seize the opportunities that may come their way!  Must be willing to undergo a third party background check and obtain infant/child CPR first aid certification within 60 days of employment. Art education background and/or prior ceramics teaching experience required.  If qualified, please respond with cover letter, current resume, salary requirements and schedule availability (days of the week and times of the day). No phone or in-person inquiries please.  Small Hands Big Art is an Equal Opportunity Employer We offer a competitive salary, 401k and company 401k matching."
https://atlanta.craigslist.org/atl/edu/d/atlanta-piano-violin-teachers-wanted/7560912632.html,Piano & Violin Teachers Wanted,atlanta,edu,"QR Code Link to This Post   Lessons In Your Home is looking for music teachers to teach Piano & Violin lessons.   Our School's Core Values are teaching a student to play an instrument while making a connection with the student and their family.  Our instruction goes beyond the music and instrument we’re teaching. Our teachers are relatable to every type of student, amazing communicators, and part of our team at Lessons In Your Home.   Teachers applying should be:  Excited to work with students ages 5-12. Use teaching methods and strategies designed to work with students for 5+ years of study.  Able to develop a 3 song repertoire  - starting with early-beginner songs - that changes and grows with a student as they develop.  Help students prepare for, and participate in, two (2)  recitals per year.  Able to drive to students homes consistently and confidently once per week. Able to check and reply to emails, texts, and phone calls in a timely manner.   Permanent Residents of the US   This position pays $50 per hour of teaching time. Teachers who have a music degree or have teaching experience are encouraged to apply online. If you’re a musician and don’t have experience teaching but think you have what it takes, please apply as well.  We do offer teacher training to some candidates.  Please apply at the link below:  https://lessonsinyourhome.net/teachers-employment/"
