Link,Posting Title,Location,Category,Posting Text
https://stlouis.craigslist.org/fbh/d/saint-louis-prep-and-event-cooks/7563427427.html,Prep and Event Cooks,stlouis,fbh,QR Code Link to This Post   Need of experienced prep cooks for am.  Need cooks for afternoon and evening events.
https://chicago.craigslist.org/chc/fbh/d/indianapolis-director-dining-services/7563418511.html,"DIRECTOR, DINING SERVICES - K12 - Pike Township Schools - Indianapolis",chicago,fbh,"QR Code Link to This Post   Salary:   Chartwells K12's goal is to make sure students leave the cafeteria happier and healthier than they came in, by serving food kids love to eat and creating custom dining programs. With more than 16,000 associates in 4,300 schools, ranging from large public institutions to small charter and private schools, Chartwells K12 is built on decades of food, education and operational experience driven by top culinary, nutrition, wellness, and sustainability talent. For more information, visit www.ChartwellsK12.com.Job SummaryThe Director of Dining Services is an exciting opportunity for an energetic, entrepreneurial manager who is constantly seeking a better way to conduct business. This key leadership position is directly responsible for the successful operation of a K12 Dining Service operation. Reporting to the Resident District Manager, The Director assists to ensure client, customer service/satisfaction with efficient cost effective management that both meets and exceeds stated expectations. They are responsible for all foodservice-related activities; including care (retail, cafeteria, catering etc), quality improvement, sanitation, infection control, and all client-related activities.Key Responsibilities:Manages salaried managers and hourly associates in the Food Service DepartmentOversees the overall direction, coordination, and evaluation of the accountInterviews, hires, and trains associates; plans, assigns, and directs work; appraises performance; rewards and disciplines associates; addresses complaints and resolves problemsPrepares and manages annual budgetUtilize company systems for completion of required daily/weekly/monthly reports such as inventory, cash reports, production records, payroll/time-keeping, etc.Oversees and participates in the preparation and service of food and beverage items in adherence to company food standards for preparation, presentation, sanitation and safety (meeting HACCP and OSHA guidelines) and portion controlOther duties as assignedPreferred Qualifications:B.S. Degree in Food Services Technology/Management or related field; or A.A. Degree plus four years of directly related experience preferredFive to seven years of direct foodservice operational management experience with inventory and purchasing knowledge and controlStrong knowledge of food and catering trends with a focus on quality, production, sanitation, food cost controls, and presentationPrevious P&L accountability or contract-managed service experience is desirableStrong supervisory, leadership, management and coaching skillsStrong communication skills, both written and verbalAbility to communicate on various levels to include management, client, customer and associate levelsExcellent financial, budgetary, accounting and computational skillsProficient computer skills to include; various computer programs, Microsoft Office programs, e-mail and the InternetServSafe® CertifiedApply to Chartwells Schools today!Chartwells Schools is a member of Compass Group USAClick here to Learn More about the Compass Story Compass Group is an equal opportunity employer.  At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity. *Los Angeles applicants: Compass Group will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box ordinance) Associates at Chartwells K-12 are offered many fantastic benefits.MedicalDentalVisionLife Insurance/ ADDisability InsuranceRetirement PlanPaid Time OffHoliday Time Off (varies by site/state)Associate Shopping ProgramHealth and Wellness ProgramsDiscount MarketplaceIdentity Theft ProtectionPet InsuranceCommuter BenefitsEmployee Assistance ProgramFlexible Spending Accounts (FSAs)Req ID:  1107056Chartwells K12 KRISTEN STROHMYER [[req_classification]]   To apply for this position, please CLICK HERE"
https://lansing.craigslist.org/fbh/d/bath-shop-and-deliver-no-experience/7563417439.html,Shop and Deliver - No Experience Required,lansing,fbh,"QR Code Link to This Post      Shop and deliver on a flexible schedule AND earn additional income!Be a household hero with Instacart.    WHY SHOP & DELIVER WITH INSTACART? Instacart is the North American leader in online groceries (and so much more) from a huge number of stores. Our technology aims to make grocery delivery effortless and accessible to everyone. Full-service shoppers select orders through an app on their smartphone, shop the orders in a nearby store, and then deliver them to the customer's door.  Start earning quickly*  Shop on your schedule  Get paid weekly, with the option to cash out instantly Earn tips for good service Redeem special earnings promotions, as available  BASIC REQUIREMENTS-  At least 18 years old (21+ to deliver alcohol) Eligible to work in the USA Consistent access to a vehicle and a recent smartphone  Ability to lift 50 lbs with or without accommodation    COVID-19 PRECAUTION(S)  Personal protective equipment provided  ADDITIONAL INFORMATION- Shopping on the Instacart platform is great for anyone looking for flexible, seasonal, entry-level, weekend, weekday, after-school, or temporary opportunities. As an Instacart Full Service Shopper, you can work more flexibly than a part time job. Anybody is welcome to sign-up, but you’ll likely be a great fit if you already provide services as a personal shopper or are involved in the grocery or transportation industries -- jobs like couriers, drivers, truck drivers, professional drivers, taxi drivers, and food delivery drivers will all have readily cross-applicable skills.  Instacart is committed to diversity and providing equal opportunities for independent contractors. Instacart considers qualified individuals without regard to gender, sexual orientation, race, veteran, disability status, or other categories protected by applicable law. Instacart also values providing prospective contractors with a fair chance to pursue opportunities. Instacart evaluates criminal histories in accordance with this value and applicable local, provincial, and federal laws, and tailors any consideration of criminal histories to the requirements of the contract engagement sought.  *Batches subject to availability. Terms apply.    Relevant keywords: spoon rocket, spoonrocket, transportation gigs, transport job, transport jobs, transporting, chauffeur job, chauffeur jobs, chauffeuring, taxi job, truck driver job, delivery job, courier job, couriers, experienced driver job, professional driver, cabbie, flexible job, part-time job, part-time jobs, part-time delivery, part-time driving job, part-time driving jobs, full-time job, full-time jobs, full-time driving job, full-time driving jobs, order, orderahead, cash, food, caviar, delivery, student, students, courier, freelance, odd job, artist, gig, instacart, breakaway, caviar, bike, bicycle, messenger, driver, drivers, driving job, driving jobs, driving gig, driving gigs, driver openings, driver job openings, transportation job, transportation jobs, transportation gig, entry level driving job, work from home, work at home, make easy money driving, contractor driver, contract driver, rideshare, ride share, ridesharing, on-demand driver, student job, student jobs, college, college job, summer job, summer jobs, summer, seasonal worker, seasonal job, intern, delivery drivers, delivery boy, delivery person, waiter, fitness, bikes, biking, bikers, cyclists, on-demand, on-demand courier, sprig, grocery, grocery stores, cashier, stocker, day job"
https://bn.craigslist.org/fbh/d/south-bend-executive-chef-k12-career/7563417257.html,"EXECUTIVE CHEF - K12 - Career Academy - South Bend, IN",bn,fbh,"QR Code Link to This Post   Salary:   Chartwells K12's goal is to make sure students leave the cafeteria happier and healthier than they came in, by serving food kids love to eat and creating custom dining programs. With more than 16,000 associates in 4,300 schools, ranging from large public institutions to small charter and private schools, Chartwells K12 is built on decades of food, education and operational experience driven by top culinary, nutrition, wellness, and sustainability talent. For more information, visit www.ChartwellsK12.com.Job SummaryThis individual will be responsible for overseeing kitchen operations, directing the preparation of meals in accordance with corporate programs and guidelines.Key Responsibilities:Plans regular and modified menus according to established guidelinesTrains kitchen staff in food preparation, safe handling, and operation of equipment, food safety and sanitation based on Company and regulatory standardsEstablishes and maintains cleaning and maintenance schedules for equipment, storage and work areasMaintains inventory of food and non-food supplies to stay within established guidelines while assuring that necessary product is available when neededComplies with federal, state and local health and sanitation regulations and department sanitation proceduresPerforms other duties as assignedQualifications:A.S. or equivalent experienceThree to five years of progressive culinary/kitchen management experienceComprehensive knowledge of food and catering trends with a focus on quality, production, sanitation, food cost controls, and presentationExperienced with computers; to include Microsoft Office (Word, Excel and Power Point), Outlook, E-mail and the InternetExtensive catering experience a plusHigh volume, complex foodservice operations experience - highly desirableServSafe certified – highly desirable Apply to Chartwells Schools today!Chartwells Schools is a member of Compass Group USAClick here to Learn More about the Compass Story Compass Group is an equal opportunity employer.  At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity. *Los Angeles applicants: Compass Group will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box ordinance) Associates at Chartwells K-12 are offered many fantastic benefits.MedicalDentalVisionLife Insurance/ ADDisability InsuranceRetirement PlanPaid Time OffHoliday Time Off (varies by site/state)Associate Shopping ProgramHealth and Wellness ProgramsDiscount MarketplaceIdentity Theft ProtectionPet InsuranceCommuter BenefitsEmployee Assistance ProgramFlexible Spending Accounts (FSAs)Req ID:  1116834Chartwells K12 KRISTEN STROHMYER [[req_classification]]   To apply for this position, please CLICK HERE"
https://stlouis.craigslist.org/fbh/d/chesterfield-resident-district-manager/7563411517.html,RESIDENT DISTRICT MANAGER - K12 - Parkway School District - Chesterfie,stlouis,fbh,"QR Code Link to This Post   Salary:   Chartwells K12's goal is to make sure students leave the cafeteria happier and healthier than they came in, by serving food kids love to eat and creating custom dining programs. With more than 16,000 associates in 4,300 schools, ranging from large public institutions to small charter and private schools, Chartwells K12 is built on decades of food, education and operational experience driven by top culinary, nutrition, wellness, and sustainability talent. For more information, visit www.ChartwellsK12.com.Job SummaryWorking as a Resident District Manager (RDM), you will manage a large, high profile, multi-unit K12 dining account located for Parkway School District located in Chesterfield, MO.  Overseeing up to 10 salaried managers and up to 130 frontline associates, you will serve as our point of contact for the client as well as lead the team within the account and manage the overall operation.  You will provide planning and direction within your account to achieve operational and financial goals in a dynamic environment. You will also maintain strong client relationships and work to fulfill our mission to feed kids.  This account has 30 schools & 5 ML in revenue.  There is extensive catering and 2 food trucks!Key Responsibilities: Leads, manages, and inspires a diverse team at a large account, with the goal of providing top-notch service to the client, students, and communityDrives and develops self and team at the account towards building strong relationships with the client(s) and achievement of key performance indicators (profitability, safety, employee engagement, etc.) May serve on district leadership team, and participates in ongoing conversations with peers to share best practices, mitigate risks, champion diversity, and build communityEnsures decisions are weighed for risk/reward and short/long term implications while gathering input from the team and partnersFosters a culture of transparency, understanding, education, safety, and accountability at the accountServes as the representative/brand ambassador of the Chartwells team within the district and community; attends key client and community events Ensures client needs are met or exceeded, we retain the account, find cross-sell opportunities, and assist in rebid process as directedSupports functional areas of operation, including but not limited to safety, marketing, nutrition and culinaryEnsures adherence to local, state, federal and company policies, and conducts unit audits to ensure conformance for key areas (e.g. food storage, sanitation)Maintains compliance with USDA regulations and guidance for all applicable meal and retail programs, along with completing all required reporting on timeChampions development within the account; conducts performance evaluations, along with succession planning for the account; has full understanding of all roles within operationOwns the financial results for the account, and works with leadership to ensure accuracy for reporting, forecasting, and budgeting processes Ensures consistent and fair administration of al policies and procedures Required Qualifications:Educational minimum and work experience per USDA Professional Standards for the account(s) Preferred Qualifications:Bachelor's degree and minimum of three (3) years of management experience, preferably in foodservice, hospitality management, plant operations management, environmental services, laundry, or other Support Services area Is well-versed in all aspects of foodservice management with a proven track record of successHas proven track record of leading a business and a large team, strong customer service, and good business and financial acumenDemonstrates strong initiative, critical thinking, ownership, communications (listening, written, and verbal), multi-tasking, prioritization, and organization skillsChampions the inclusion mindset, and is proactive, positive, professional, and resilientExcellent computer skills and proficiency with Microsoft Office suite and POS software  Apply to Chartwells Schools today!Chartwells Schools is a member of Compass Group USAClick here to Learn More about the Compass Story Compass Group is an equal opportunity employer.  At Compass, we are committed to treating all Applicants and Associates fairly based on their abilities, achievements, and experience without regard to race, national origin, sex, age, disability, veteran status, sexual orientation, gender identity, or any other classification protected by law.Qualified candidates must be able to perform the essential functions of this position satisfactorily with or without a reasonable accommodation. Disclaimer: this job post is not necessarily an exhaustive list of all essential responsibilities, skills, tasks, or requirements associated with this position. While this is intended to be an accurate reflection of the position posted, the Company reserves the right to modify or change the essential functions of the job based on business necessity. *Los Angeles applicants: Compass Group will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring (Ban the Box ordinance) Associates at Chartwells K-12 are offered many fantastic benefits.MedicalDentalVisionLife Insurance/ ADDisability InsuranceRetirement PlanPaid Time OffHoliday Time Off (varies by site/state)Associate Shopping ProgramHealth and Wellness ProgramsDiscount MarketplaceIdentity Theft ProtectionPet InsuranceCommuter BenefitsEmployee Assistance ProgramFlexible Spending Accounts (FSAs)Req ID:  1129419Chartwells K12 KRISTEN STROHMYER [[req_classification]]   To apply for this position, please CLICK HERE"
https://toledo.craigslist.org/fbh/d/holland-apartment-housekeeper/7563410045.html,Apartment Housekeeper,toledo,fbh,"QR Code Link to This Post   Large newly renovated apartment complex now hiring a full time housekeeper in the Toledo/Holland market. Experience preferred but we will train. This is a full time position with a complete benefits package that includes health insurance, dental insurance, vision insurance, sick time, vacation time, and "" HOUSING DISCOUNT"" plus we pay all utilities. We are looking for reliable, hard working team members to join our team. This will be a 40 hour work week with a set schedule. Immediate availability and very quick hiring process. Please respond to this with a contact phone number so somebody can reach out to you immediately. Must pass pre-employment drug screening."
https://chicago.craigslist.org/chc/fbh/d/chicago-junior-staff-accountant/7563407786.html,Junior Staff Accountant,chicago,fbh,"QR Code Link to This Post   University Club of Chicago is in search of a diligent staff accountant to join our accounting department. The staff accountant's responsibilities include maintaining financial records and reports, performing account reconciliations, and assisting with close processes.  Essential Job Functions: •	Performs account reconciliations, verifies the accuracy of data, and reports identify and correct errors. •	Prepare special financial reports as requested by management by collecting, analyzing, and summarizing account information and trends. •	Conduct month-end and year-end closures. •	Handling incoming calls to answer member questions. •	Assisting the accounting team as needed.  Job Qualifications: •	Bachelor's degree in accounting or finance required. •	2+ years of accounting experience. •	Strong numeracy and analytical skills. •	Excel spreadsheet experience •	Highly organized and detail-oriented."
https://lansing.craigslist.org/fbh/d/east-lansing-wait-staff/7563405895.html,wait staff,lansing,fbh,"QR Code Link to This Post   Parttime waitstaff/server position available in a wonderful senior living community.  Opportunity to learn new skills and be part of a great team. Perfect parttime job for high school/college students, retirees or as a second job.  On the job training. Short shifts. Flexible days. Weekday evenings and weekends shifts availability."
https://chicago.craigslist.org/chc/fbh/d/chicago-territory-manager/7563403049.html,TERRITORY MANAGER,chicago,fbh,"QR Code Link to This Post   Manufacturer of quality institutional chemicals is “ON THE MOVE”.  As a leader and innovator in the Institutional Dishwashing and Laundry business, We’re seeking highly motivated, self starting, dedicated, SALES AND SERVICE TECHNICIAN to take over and grow an existing territory   Job Requirements: •	Basic knowledge of 3 phase electric, electronics, wiring diagrams, and  plumbing •	Experience in commercial dishwasher and laundry machine repair a plus •	Basic computer skills •	Limited English speaking a must •	Sales experience a plus •	Clean drivers license  Compensation: •	Salary plus commission •	Company Vehicle •	Insurance Package •	Definite Career Path •	Retirement Opportunity"
https://louisville.craigslist.org/fbh/d/louisville-deliver-with-doordash/7563393914.html,* Deliver with DoorDash *,louisville,fbh,QR Code Link to This Post
